iterations,mean_loss,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
63,4.219319938176198,1696877183,False,64,1faf0_00002,2023-10-09_14-46-23,0.10247611999511719,6.50068736076355,90598,M-Q60T6533T0,127.0.0.1,6.50068736076355,64,
64,4.2190186382655,1696877183,False,65,1faf0_00002,2023-10-09_14-46-23,0.10373497009277344,6.604422330856323,90598,M-Q60T6533T0,127.0.0.1,6.604422330856323,65,
65,4.2187265917603,1696877183,False,66,1faf0_00002,2023-10-09_14-46-23,0.10237407684326172,6.706796407699585,90598,M-Q60T6533T0,127.0.0.1,6.706796407699585,66,
66,4.2184433788270015,1696877183,False,67,1faf0_00002,2023-10-09_14-46-23,0.10119795799255371,6.807994365692139,90598,M-Q60T6533T0,127.0.0.1,6.807994365692139,67,
67,4.218168604651163,1696877184,False,68,1faf0_00002,2023-10-09_14-46-24,0.1020040512084961,6.909998416900635,90598,M-Q60T6533T0,127.0.0.1,6.909998416900635,68,
68,4.217901897601146,1696877184,False,69,1faf0_00002,2023-10-09_14-46-24,0.10502099990844727,7.015019416809082,90598,M-Q60T6533T0,127.0.0.1,7.015019416809082,69,
69,4.2176429075511646,1696877184,False,70,1faf0_00002,2023-10-09_14-46-24,0.10515999794006348,7.1201794147491455,90598,M-Q60T6533T0,127.0.0.1,7.1201794147491455,70,
70,4.217391304347826,1696877184,False,71,1faf0_00002,2023-10-09_14-46-24,0.10069918632507324,7.220878601074219,90598,M-Q60T6533T0,127.0.0.1,7.220878601074219,71,
71,4.217146776406036,1696877184,False,72,1faf0_00002,2023-10-09_14-46-24,0.10485005378723145,7.32572865486145,90598,M-Q60T6533T0,127.0.0.1,7.32572865486145,72,
72,4.2169090294217115,1696877184,False,73,1faf0_00002,2023-10-09_14-46-24,0.10193705558776855,7.427665710449219,90598,M-Q60T6533T0,127.0.0.1,7.427665710449219,73,
73,4.216677785190127,1696877184,False,74,1faf0_00002,2023-10-09_14-46-24,0.10044097900390625,7.528106689453125,90598,M-Q60T6533T0,127.0.0.1,7.528106689453125,74,
74,4.216452780519908,1696877184,False,75,1faf0_00002,2023-10-09_14-46-24,0.10034704208374023,7.628453731536865,90598,M-Q60T6533T0,127.0.0.1,7.628453731536865,75,
75,4.216233766233766,1696877184,False,76,1faf0_00002,2023-10-09_14-46-24,0.10511517524719238,7.733568906784058,90598,M-Q60T6533T0,127.0.0.1,7.733568906784058,76,
76,4.216020506247998,1696877185,False,77,1faf0_00002,2023-10-09_14-46-25,0.1048126220703125,7.83838152885437,90598,M-Q60T6533T0,127.0.0.1,7.83838152885437,77,
77,4.215812776723593,1696877185,False,78,1faf0_00002,2023-10-09_14-46-25,0.10212874412536621,7.940510272979736,90598,M-Q60T6533T0,127.0.0.1,7.940510272979736,78,
78,4.215610365282548,1696877185,False,79,1faf0_00002,2023-10-09_14-46-25,0.10511016845703125,8.045620441436768,90598,M-Q60T6533T0,127.0.0.1,8.045620441436768,79,
79,4.215413070283601,1696877185,False,80,1faf0_00002,2023-10-09_14-46-25,0.10424089431762695,8.149861335754395,90598,M-Q60T6533T0,127.0.0.1,8.149861335754395,80,
